row_id,label,reason
A-001,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-002,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-003,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-004,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-005,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-006,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-007,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-008,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-009,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-010,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-011,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-012,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-013,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-014,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-015,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-016,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-017,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-018,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-019,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-020,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-021,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-022,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-023,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-024,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-025,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-026,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-027,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-028,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-029,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-030,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-031,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-032,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-033,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-034,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-035,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-036,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-037,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-038,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-039,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-040,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-041,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-042,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-043,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-044,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-045,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-046,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-047,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-048,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-049,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-050,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-051,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-052,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-053,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-054,out-of-intent,"Same payment, but 61500 paise exceeds the 42500 paise authorized for the two named items."
A-055,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-056,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-057,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-058,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-059,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-060,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-061,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-062,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-063,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-064,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-065,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-066,out-of-intent,"Same payment, but 61500 paise exceeds the 42500 paise authorized for the two named items."
A-067,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-068,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-069,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-070,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-071,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
A-072,in-intent,"Same payment; requested amount is within the amount authorized by the merchant intent."
