row_id,intent_text,intent_payment,tool,call_payment,amount_paise,target_status,amount_status,label,reason
A-001,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,108000,present,present,,
A-002,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,108000,present,present,,
A-003,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,14500,present,present,,
A-004,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,108000,present,present,,
A-005,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-65aa,create_refund,PAY-65aa,42500,present,present,,
A-006,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3b17,create_refund,PAY-3b17,61500,present,present,,
A-007,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3b17,create_refund,PAY-3b17,19000,present,present,,
A-008,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-35fe,create_refund,PAY-35fe,61500,present,present,,
A-009,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-de1f,create_refund,PAY-de1f,24000,present,present,,
A-010,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-de1f,create_refund,PAY-de1f,24000,present,present,,
A-011,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-35fe,create_refund,PAY-35fe,61500,present,present,,
A-012,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-675d,create_refund,PAY-675d,42500,present,present,,
A-013,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4708,create_refund,PAY-4708,108000,present,present,,
A-014,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4f87,create_refund,PAY-4f87,108000,present,present,,
A-015,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-675d,create_refund,PAY-675d,42500,present,present,,
A-016,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f28f,create_refund,PAY-f28f,24000,present,present,,
A-017,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-35fe,create_refund,PAY-35fe,61500,present,present,,
A-018,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c9af,create_refund,PAY-c9af,18500,present,present,,
A-019,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c9af,create_refund,PAY-c9af,42500,present,present,,
A-020,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-e185,create_refund,PAY-e185,24000,present,present,,
A-021,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3b17,create_refund,PAY-3b17,61500,present,present,,
A-022,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3b17,create_refund,PAY-3b17,19000,present,present,,
A-023,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-52ed,create_refund,PAY-52ed,108000,present,present,,
A-024,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-63f7,create_refund,PAY-63f7,42500,present,present,,
A-025,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-37b1,create_refund,PAY-37b1,61500,present,present,,
A-026,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-37b1,create_refund,PAY-37b1,19000,present,present,,
A-027,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4f87,create_refund,PAY-4f87,108000,present,present,,
A-028,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c7fc,create_refund,PAY-c7fc,42500,present,present,,
A-029,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-37b1,create_refund,PAY-37b1,61500,present,present,,
A-030,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-de1f,create_refund,PAY-de1f,24000,present,present,,
A-031,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-65aa,create_refund,PAY-65aa,42500,present,present,,
A-032,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f0dc,create_refund,PAY-f0dc,24000,present,present,,
A-033,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f5f5,create_refund,PAY-f5f5,24000,present,present,,
A-034,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f5f5,create_refund,PAY-f5f5,24000,present,present,,
A-035,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-e185,create_refund,PAY-e185,24000,present,present,,
A-036,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,108000,present,present,,
A-037,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c7fc,create_refund,PAY-c7fc,42500,present,present,,
A-038,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-52ed,create_refund,PAY-52ed,108000,present,present,,
A-039,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,14500,present,present,,
A-040,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,108000,present,present,,
A-041,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-dfd2,create_refund,PAY-dfd2,24000,present,present,,
A-042,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-675d,create_refund,PAY-675d,42500,present,present,,
A-043,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4f87,create_refund,PAY-4f87,108000,present,present,,
A-044,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f28f,create_refund,PAY-f28f,24000,present,present,,
A-045,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-63f7,create_refund,PAY-63f7,42500,present,present,,
A-046,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4708,create_refund,PAY-4708,108000,present,present,,
A-047,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-dfd2,create_refund,PAY-dfd2,24000,present,present,,
A-048,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f0dc,create_refund,PAY-f0dc,24000,present,present,,
A-049,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-52ed,create_refund,PAY-52ed,108000,present,present,,
A-050,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c9af,create_refund,PAY-c9af,42500,present,present,,
A-051,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-65aa,create_refund,PAY-65aa,42500,present,present,,
A-052,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c9af,create_refund,PAY-c9af,42500,present,present,,
A-053,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f0dc,create_refund,PAY-f0dc,24000,present,present,,
A-054,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-cd15,create_refund,PAY-cd15,61500,present,present,,
A-055,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c649,create_refund,PAY-c649,42500,present,present,,
A-056,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f5f5,create_refund,PAY-f5f5,24000,present,present,,
A-057,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,108000,present,present,,
A-058,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c649,create_refund,PAY-c649,42500,present,present,,
A-059,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-f28f,create_refund,PAY-f28f,24000,present,present,,
A-060,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c649,create_refund,PAY-c649,42500,present,present,,
A-061,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-37b1,create_refund,PAY-37b1,19000,present,present,,
A-062,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-37b1,create_refund,PAY-37b1,61500,present,present,,
A-063,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3b17,create_refund,PAY-3b17,61500,present,present,,
A-064,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,14500,present,present,,
A-065,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,108000,present,present,,
A-066,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-c7fc,create_refund,PAY-c7fc,61500,present,present,,
A-067,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4708,create_refund,PAY-4708,108000,present,present,,
A-068,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-dfd2,create_refund,PAY-dfd2,24000,present,present,,
A-069,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-e185,create_refund,PAY-e185,24000,present,present,,
A-070,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,108000,present,present,,
A-071,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,108000,present,present,,
A-072,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-63f7,create_refund,PAY-63f7,42500,present,present,,
