row_id,intent_text,intent_payment,tool,call_payment,amount_paise,target_status,amount_status,label,reason
C-001,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-d5a0,create_refund,PAY-d5a0,24000,present,present,,
C-002,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-cd15,create_refund,PAY-cd15,42500,present,present,,
C-003,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,7250,present,present,,
C-004,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,16000,present,present,,
C-005,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,9500,present,present,,
C-006,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,9250,present,present,,
C-007,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,12000,present,present,,
C-008,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-513a,create_refund,PAY-513a,108000,present,present,,
C-009,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-3e7d,create_refund,PAY-3e7d,61500,present,present,,
C-010,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-2500,create_refund,PAY-2500,24000,present,present,,
C-011,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-cb62,create_refund,PAY-cb62,42500,present,present,,
C-012,"The customer received a damaged Aashirvaad atta 5kg and a damaged Toor dal 1kg. Refund the price of those two items, 24000 and 18500 paise. Nothing else on the order is affected.",PAY-cec8,create_refund,PAY-cec8,42500,present,present,,
C-013,"Every item in this order arrived damaged. Refund the customer the full order value, 61500 paise. Nothing is to be recovered.",PAY-d07b,create_refund,PAY-d07b,61500,present,present,,
C-014,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,108000,present,present,,
C-015,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,18500,present,present,,
C-016,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,24000,present,present,,
C-017,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,32000,present,present,,
C-018,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,19000,present,present,,
C-019,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-5812,create_refund,PAY-5812,14500,present,present,,
C-020,"The customer received a damaged Aashirvaad atta 5kg. Refund the price of that one item, 24000 paise. Nothing else on the order is affected.",PAY-ed76,create_refund,PAY-ed76,24000,present,present,,
C-021,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,24000,present,present,,
C-022,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,18500,present,present,,
C-023,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,108000,present,present,,
C-024,"Every item in this order arrived damaged. Refund the customer the full order value, 108000 paise. Nothing is to be recovered.",PAY-4dd4,create_refund,PAY-4dd4,19000,present,present,,
